single_crystalX,single_crystalY,sinteredX,sinteredY,powderX,powderY,mgO-dopedX,mgO-dopedY
0.0007751981111770575,3.184509848605907e-10,0.0008619561318262753,2.2750868048223917e-10,0.0015802697573097319,3.3212240524495358e-15,0.0011867410629846794,2.641841108228258e-10
0.000797640927975581,2.191647937336447e-10,0.0009133769884492216,1.9592472663688015e-10,0.0017372325091473558,1.1082168431101308e-16,0.0012798842965504199,1.4530207130238801e-10
0.0008682239455267638,8.939607648616781e-11,0.0009454139300692003,1.000000000000004e-10,0.0018497792242520694,1.150408089588494e-16,0.001295609269320324,1.9319863638413644e-11
0.0008872295741669548,1.7271200075219585e-11,0.0009549558774613072,5.500030673677963e-11,0.0018497400911800578,9.193668577413832e-17,0.0012412469101178557,1.0775920062348063e-10
0.0009096789131441467,1.2338941081240822e-11,0.001038270187773524,1.0625984262255059e-11,0.001856144870632586,7.917355060922635e-17,0.001340788400957456,4.916811627803803e-11
0.000919227382714922,7.0448245661602816e-12,0.0010317414869262928,6.06682489830309e-12,0.0019040763616678513,1.4194817636815238e-17,0.0013696881746378562,3.929347939457926e-11
0.0009737136633120928,2.5688355827365706e-12,0.0011407140481206344,8.066659250123337e-13,0.0019716591770314955,1.9868928283433855e-17,0.001340684046098759,2.7042614769617393e-11
0.0010055418952146775,3.966224399853769e-13,,,0.002090128030367264,1.118617325621383e-18,0.0013405731690613932,1.4328034302398118e-11
0.0011238933493344116,1.1397120285294437e-14,,,,,0.001408116851353026,1.6027587412759822e-11
,,,,,,0.0014112540192926046,1.0236276014250318e-11
,,,,,,0.0014528850857340385,3.8746751204561444e-12
,,,,,,0.0014623618113394597,1.4666571386099303e-12
,,,,,,0.001549087221095335,8.692567524952965e-13
,,,,,,0.0015102476471240455,2.0243613289325278e-13
,,,,,,0.0015712561063897785,1.2454740567343747e-13
