foil,,ITER grade,,UFG,
X,Y,X,Y,X,Y
0.7850678733031674,2.9836472402833464e-9,0.787228848821082,4.47183156237293e-9,0.7842857142857144,5.0469651168844165e-9
0.7873303167420814,2.364489412645407e-9,0.7871733703190017,3.576004513317607e-9,0.7857142857142858,5.643066283354803e-9
0.8167420814479638,2.104904144512022e-9,0.8191123439667131,2.7964170522600126e-9,0.8514285714285715,2.7312637228008525e-9
0.8167420814479638,1.8025704857129353e-9,0.8202274618585298,2.5006807584394466e-9,0.8528571428571429,2.3101297000831677e-9
0.8506787330316741,1.4849682622544696e-9,0.853253814147018,1.5637767696795445e-9,0.9314285714285715,9.45709116858659e-10
0.8529411764705883,1.2716778427840875e-9,0.8532260748959778,1.3983988816231286e-9,0.9314285714285715,8.69749002617787e-10
0.8914027149321266,8.971435783762863e-10,0.8897142857142858,1.000000000000004e-9,1.0285714285714285,3.096770996935361e-10
0.8868778280542986,7.68284171060383e-10,0.8931428571428573,1.000000000000004e-9,1.0257142857142858,2.848035868435805e-10
0.9321266968325792,5.634323137373142e-10,0.9329042995839113,3.8240562494177024e-10,1.1442857142857141,8.576958985908981e-11
0.9276018099547512,5.420092945285339e-10,0.9340138696255204,3.3440429337866087e-10,1.1464285714285716,7.888050765828567e-11
0.9751131221719456,3.0302710828663933e-10,0.9762274618585299,2.5006807584394467e-10,1.2942857142857143,1.7969891485325993e-11
0.9728506787330318,2.697593030955549e-10,0.97849653259362,2.338471271155493e-10,1.2957142857142856,1.747528400007683e-11
1.0248868778280544,1.5677838820970854e-10,1.0285714285714285,1e-10,,
1.0226244343891402,1.4508287784959432e-10,1.0296699029126217,8.362383819915535e-11,,
1.081447963800905,7.220809018385456e-11,1.0832676837725383,5.2293366566664866e-11,,
1.081447963800905,7.220809018385456e-11,1.0855478502080445,5.1137308255404765e-11,,
1.1447963800904977,2.635575251984567e-11,,,,
1.1402714932126696,2.635575251984567e-11,,,,
1.2126696832579185,1.167723626451988e-11,,,,
1.2104072398190044,1.1233240329780266e-11,,,,
