elbrodur_h,,elbrodur_d,
X,Y,X,Y
1.3072253146507995,0.0024742844318836384,1.3088964012488102,0.002585509133663749
1.305536600557029,0.002200422919188914,1.3088258912657718,0.0019282264695025455
1.3635945205908737,0.0017132274372205082,1.368576050892539,0.0017130883671429538
1.3652268266982135,0.001523519632040057,1.3668908622979203,0.0015459865278618587
1.4465107351449178,0.0010858653673824934,1.4414727968568217,0.0008588173471639983
1.5376660412170025,0.0005284804816801951,1.4481007352624342,0.0008097970572976681
1.539390010302292,0.0006881235686314961,1.5444173720929322,0.0008325942386761372
1.6438117696830576,0.00031115614399734176,1.5410258419087837,0.000620967496944096
1.6488356059745461,0.00037100174086690773,1.6455322132691954,0.00039925141113957767
1.7782813583356512,0.0002720832959384898,1.6504925905759493,0.00036559040917117877
1.7783271898246262,0.0003292335639743,1.7765573892503614,0.00020896059639502164
,,1.779959495931966,0.00029277712190690474
