hydrogenX,hydrogenY,deuteriumX,deuteriumY
1.3031115771856512,6.068324314121123e-9,1.2997150589743183,4.385057662800763e-9
1.3030183622776215,4.385057662800763e-9,1.293061844913697,3.727593720314938e-9
1.4153131967946782,4.125915052930172e-9,1.3293573997277701,3.2337033485794897e-9
1.4152316337501523,3.10501349512486e-9,1.4118700711293306,2.5344286570291582e-9
1.520948991319362,3.2337033485794897e-9,1.4152316337501523,3.10501349512486e-9
1.5142491698047258,2.3367201411625064e-9,1.510905084979159,2.027114624640992e-9
1.6331506109283889,2.198627599973147e-9,1.520937339455858,3.10501349512486e-9
1.6297773964440632,1.7231836674056651e-9,1.6230892267929309,1.2968053082124112e-9
1.7486438819772157,1.4353786767891872e-9,1.6231300083151936,1.4948691337092374e-9
1.7651312688349727,1.2968053082124112e-9,1.758338232412307,6.771545963473348e-10
1.9268358305395341,7.495136412007533e-10,1.755163099607544,1.0585012080885982e-9
1.9169259206296245,7.495136412007533e-10,1.7551864033345517,1.148060372323876e-9
2.11828177383733,4.5115002695782065e-10,1.9201826164789129,6.371369676461317e-10
2.121538469686618,3.835078433914533e-10,1.9136342691898247,7.805778542226332e-10
2.365767354656244,1.8092375418916542e-10,2.1148969074895003,3.3951908947692175e-10
2.3624232698306775,1.5695212344913064e-10,2.114949340875267,4.0759540267644854e-10
2.669449873153577,8.363702743821164e-11,2.362365010513159,1.2811021919086987e-10
2.6693508323137953,5.9222504892195e-11,2.362429095762429,1.6017160886160066e-10
3.0819782745708673,2.18971708571436e-11,2.669251791474014,4.1934836676221486e-11
3.0819316671168524,1.8614066873551326e-11,2.666094136464507,6.966802671451927e-11
3.085077670262856,1.075835898542183e-11,3.0753949716912685,2.374987759578222e-11
,,3.0786749712675645,2.18971708571436e-11
