hydrogenX,hydrogenY,deuteriumX,deuteriumY
1.3042781831285883,4.88164740621174,1.3003668402341946,3.13986232641453
1.300577388712982,4.663566400259787,1.3004397223999287,3.600662811329536
1.2967308299659073,3.387866020825782,1.3335849117720895,4.007347284774204
1.4181849101524857,4.329678602271883,1.51017839934568,5.048273096971999
1.425562204928454,4.53239964115178,1.5176042822321378,5.789796192049032
1.4182820863734644,5.19698490777986,1.5102026934009247,5.284048437512108
1.4183630665576135,6.051057584454982,1.4145327038473687,4.531639089499659
1.5176528703426273,6.343240452415255,1.760407168365901,7.759225282951716
1.517677164397872,6.639496151951999,1.7604395604395606,8.246132210020889
1.5175637921400633,5.365662612152391,1.7605772267526139,10.680362789248093
1.6316891656611627,7.176755559151341,1.76429421720505,11.525246272185829
1.6317701458453118,8.35618381207386,1.9187315263954914,12.09189907247275
1.631834929992631,9.437823449299673,1.918674840266587,10.870227474858801
1.749572019726773,11.177304228993153,1.9186505462113423,10.385195663560733
1.7642537271129757,10.680960256155512,2.110071505502604,16.440592501430945
1.7644075894628586,14.261393942505235,2.1138370840655294,19.437015112931217
1.9300282620842681,19.981626446188336,2.1175540745179653,20.9746045516588
1.92263477127147,18.51579366132691,2.6698632244689726,101.38183357899116
2.1214492213755296,31.632507326777063,2.666105743924462,87.06748850155175
2.121489711467604,34.132927040686496,2.36064039129625,47.877148071742134
2.121505907504434,35.18758801407803,2.3606565873330796,49.35648676216168
2.360632293277835,47.1541900550386,,
2.3681796464405163,67.94546424184941,,
2.3571663413962605,70.0331328151403,,
2.6733534704057917,71.44976849990897,,
2.666049057795558,78.27086547812011,,
2.6698146363584834,92.53632404476997,,
