alpha_aluminax,alpha_aluminay,liquid_aluminax,liquid_aluminay
0.00020933521923620932,1.1507954909588774e-8,0.00019801980198019798,8.876545685081183e-8
0.00022630834512022628,6.905365828260497e-9,0.00022065063649222077,6.876037910601983e-8
0.00024893917963224896,5.3491030076594925e-9,0.00023762376237623773,5.326384725028696e-8
0.0002659123055162659,4.143575257005551e-9,0.00025742574257425733,4.6879143384249576e-8
0.0002885431400282884,2.8249881853776173e-9,0.0003111739745403113,2.8129901214158387e-8
0.0003224893917963225,1.4919432727497723e-9,0.0003451202263083452,1.9178278094860802e-8
0.0003734087694483734,8.952428276170153e-10,0.0003790664780763789,1.307528056652732e-8
0.00042432814710042426,4.16124857927766e-10,0.00044695898161244694,6.077623970018009e-9
0.0004978783592644978,1.4983067614366095e-10,0.0005261669024045262,2.8249881853776173e-9
0.0006053748231966053,3.237176347837238e-11,0.0006506364922206506,8.952428276170153e-10
0.0007694483734087693,3.2509836657447024e-12,0.0008373408769448374,1.1606332529403462e-10
0.001046676096181047,4.809171229341542e-14,0.0011824611032531826,3.2509836657447024e-12
0.001674681753889675,8.152211077045656e-18,0.0020028288543140027,5.510867421288954e-16
